ID,Name,Address,City,State,Zip,Classification,PayMethod,Salary,Hourly,Commission,Route,Account
169927,Alexandra Y. Duke,P.O. Box 727,Springfield,MA,50647,2,2,31631.98,95.73,13,23609043-4,538878-8548,6/4/1990,131-87-3031,28/7/2011,1,1,Fighter,Science,293-945-6747,Y.Alexandra@uvu.edu,833Protoss#
454912,Sylvester J. Rowland,8628 Pede Ave,Baltimore,MD,93306,1,1,49570.97,25.20,32,5363288-2,339235-5453,13/4/1967,649-68-9304,19/9/2014,1,1,Barbarian,Medical,521-794-1427,J.Sylvester@uvu.edu,946Terran@
285767,Porter Wolfe,4842 Tincidunt Av.,Miami,FL,44875,1,1,41212.83,87.54,22,16506147-0,087434-1662,13/11/1954,923-17-7998,27/9/2015,1,1,Paladin,Medical,774-181-4579,WolfePorter@uvu.edu,402Terran$
674261,Scott T. Shields,8402 Pretium Rd. Ap #163,Grand Rapids,MI,26321,1,1,86913.93,83.43,15,21871936-8,779622-5618,9/11/1953,986-26-1699,7/8/2005,1,1,Sorcerer,Security,558-997-1557,T.Scott@uvu.edu,617Zerg$
265154,Amir Mcintosh,83493 Nibh. Ave,West Jordan,UT,40532,3,2,91254.76,67.73,27,8752077-3,866009-0500,2/7/1981,538-13-3714,7/11/2003,0,0,Monk,Security,372-295-9127,McintoshAmir@uvu.edu,370Zerg*
160769,Grant X. Mccarthy,9846 Arcu. Road,Ketchikan,AK,99634,3,1,36025.38,79.99,11,7117844-7,288413-2164,6/4/1974,477-36-4942,29/2/2004,0,0,Bard,Medical,776-817-9705,X.Grant@uvu.edu,726Terran*
426824,Mira Y. Wolf,37224 Pharetra Ave,Savannah,GA,22329,1,2,45576.80,26.99,34,12666803-1,158217-3462,7/11/1973,722-54-4255,2/2/2014,0,0,Wizard,Command,918-530-1085,Y.Mira@uvu.edu,531Protoss*
502141,Brock Sandoval,4882 Consectetuer Street,Wyoming,WY,15840,2,1,58436.75,26.25,32,13977869-3,906688-1963,11/6/1960,361-42-7319,21/2/2011,1,0,Barbarian,Science,375-386-5237,SandovalBrock@uvu.edu,460Zerg#
934003,Kelsey K. Saunders,9920 Aliquam Av. Ap #128,Salt Lake City,UT,97100,1,1,42548.72,31.24,18,37723944-K,769125-4564,28/5/1964,635-83-4730,24/1/2019,1,1,Cleric,Medical,282-896-1839,K.Kelsey@uvu.edu,516Zerg@
377013,Teagan Goodwin,P.O. Box 317,Akron,OH,66603,3,2,69765.24,84.73,13,24639186-6,433898-4976,11/7/1976,117-51-2995,19/8/2010,1,1,Druid,Command,804-359-4997,GoodwinTeagan@uvu.edu,370Protoss*
